issue_type,severity,element,element_index,ifc_type,ontology_class,brick_class,message,architectural_element,architectural_index,architectural_ifc_type,edge_index,predicate
terminal_not_located_in_space,medium,828,14186,,brick:Terminal_Unit,brick:Terminal_Unit,Terminal/equipment has no derived architectural space location.,,,,,
terminal_not_located_in_space,medium,829,14187,,brick:Terminal_Unit,brick:Terminal_Unit,Terminal/equipment has no derived architectural space location.,,,,,
terminal_not_located_in_space,medium,830,14188,,brick:Terminal_Unit,brick:Terminal_Unit,Terminal/equipment has no derived architectural space location.,,,,,
terminal_not_located_in_space,medium,831,14189,,brick:Terminal_Unit,brick:Terminal_Unit,Terminal/equipment has no derived architectural space location.,,,,,
terminal_not_located_in_space,medium,832,14190,,brick:Terminal_Unit,brick:Terminal_Unit,Terminal/equipment has no derived architectural space location.,,,,,
terminal_not_located_in_space,medium,833,14191,,brick:Terminal_Unit,brick:Terminal_Unit,Terminal/equipment has no derived architectural space location.,,,,,
terminal_not_located_in_space,medium,834,14192,,brick:Terminal_Unit,brick:Terminal_Unit,Terminal/equipment has no derived architectural space location.,,,,,
terminal_not_located_in_space,medium,835,14193,,brick:Terminal_Unit,brick:Terminal_Unit,Terminal/equipment has no derived architectural space location.,,,,,
terminal_not_located_in_space,medium,836,14194,,brick:Terminal_Unit,brick:Terminal_Unit,Terminal/equipment has no derived architectural space location.,,,,,
terminal_not_located_in_space,medium,837,14195,,brick:Terminal_Unit,brick:Terminal_Unit,Terminal/equipment has no derived architectural space location.,,,,,
terminal_not_located_in_space,medium,838,14196,,brick:Terminal_Unit,brick:Terminal_Unit,Terminal/equipment has no derived architectural space location.,,,,,
terminal_not_located_in_space,medium,839,14197,,brick:Terminal_Unit,brick:Terminal_Unit,Terminal/equipment has no derived architectural space location.,,,,,
terminal_not_located_in_space,medium,840,14198,,brick:Terminal_Unit,brick:Terminal_Unit,Terminal/equipment has no derived architectural space location.,,,,,
terminal_not_located_in_space,medium,841,14199,,brick:Terminal_Unit,brick:Terminal_Unit,Terminal/equipment has no derived architectural space location.,,,,,
terminal_not_located_in_space,medium,842,14200,,brick:Terminal_Unit,brick:Terminal_Unit,Terminal/equipment has no derived architectural space location.,,,,,
terminal_not_located_in_space,medium,843,14201,,brick:Terminal_Unit,brick:Terminal_Unit,Terminal/equipment has no derived architectural space location.,,,,,
